timestamp,date_GMT,status,attendance,home_team_name,away_team_name,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1472236200,Aug 26 2016 - 6:30pm,complete,75000,Bayern München,Werder Bremen,0.00,0.00,2.53,1.18,6,0,6,2,2,0,"9,13,46,66,73,77","",8,1,0,0,1,0,6,4,5,3,1,1,7,8,67,33,0.00,0,0,0,0,0,0,0,0.00,0.00,1.13,9.85,9.99,0.00,0.00,0.00,0.00,0.00,0.00,Allianz Arena
1472304600,Aug 27 2016 - 1:30pm,complete,81360,Borussia Dortmund,Mainz 05,0.00,0.00,2.53,0.71,2,1,3,1,1,0,"17,89","90'2",7,2,0,0,3,0,12,8,8,4,4,4,3,19,70,30,0.00,0,0,0,0,0,0,0,0.00,0.00,1.42,4.96,8.10,0.00,0.00,0.00,0.00,0.00,0.00,Signal-Iduna-Park
1472304600,Aug 27 2016 - 1:30pm,complete,50107,Hamburger SV,Ingolstadt,0.00,0.00,1.65,0.88,1,1,2,1,1,0,"30","79",4,5,2,0,2,0,6,11,5,7,1,4,17,15,49,51,0.00,0,0,0,0,0,0,0,0.00,0.00,2.26,3.24,3.59,0.00,0.00,0.00,0.00,0.00,0.00,Volksparkstadion
1472304600,Aug 27 2016 - 1:30pm,complete,50000,Köln,Darmstadt 98,0.00,0.00,1.94,0.24,2,0,2,1,1,0,"11,61","",6,5,3,0,3,0,16,8,6,3,10,5,9,15,68,32,0.00,0,0,0,0,0,0,0,0.00,0.00,1.86,3.48,4.86,0.00,0.00,0.00,0.00,0.00,0.00,RheinEnergieStadion
1472304600,Aug 27 2016 - 1:30pm,complete,47000,Eintracht Frankfurt,Schalke 04,0.00,0.00,1.65,0.82,1,0,1,1,1,0,"13","",7,5,2,1,2,0,10,16,4,10,6,6,11,10,48,52,0.00,0,0,0,0,0,0,0,0.00,0.00,3.45,3.50,2.20,0.00,0.00,0.00,0.00,0.00,0.00,Commerzbank-Arena
1472304600,Aug 27 2016 - 1:30pm,complete,26172,Augsburg,Wolfsburg,0.00,0.00,1.24,1.12,0,2,2,1,0,1,"","35,89",2,3,1,0,2,0,15,10,9,7,6,3,15,17,51,49,0.00,0,0,0,0,0,0,0,0.00,0.00,3.33,3.37,2.31,0.00,0.00,0.00,0.00,0.00,0.00,WWK Arena
1472315400,Aug 27 2016 - 4:30pm,complete,52183,Borussia M'gladbach,Bayer Leverkusen,0.00,0.00,1.53,1.18,2,1,3,1,1,0,"45'1,85","79",7,3,3,0,3,0,11,9,8,6,3,3,12,15,45,55,0.00,0,0,0,0,0,0,0,0.00,0.00,2.55,3.47,2.86,0.00,0.00,0.00,0.00,0.00,0.00,Stadion im BORUSSIA-PARK
1472391000,Aug 28 2016 - 1:30pm,complete,41648,Hertha BSC,Freiburg,0.00,0.00,2.18,0.94,2,1,3,0,0,0,"62,90'5","90'3",5,2,0,0,3,0,15,8,6,3,9,5,10,10,51,49,0.00,0,0,0,0,0,0,0,0.00,0.00,1.98,3.43,4.28,0.00,0.00,0.00,0.00,0.00,0.00,Olympiastadion Berlin
1472398200,Aug 28 2016 - 3:30pm,complete,24188,Hoffenheim,RB Leipzig,0.00,0.00,2.29,1.71,2,2,4,0,0,0,"55,83","58,90",2,9,2,0,4,0,7,15,4,9,3,6,12,10,53,47,0.00,0,0,0,0,0,0,0,0.00,0.00,2.55,3.38,2.92,0.00,0.00,0.00,0.00,0.00,0.00,WIRSOL Rhein-Neckar-Arena
1473445800,Sep 9 2016 - 6:30pm,complete,62271,Schalke 04,Bayern München,0.00,0.00,1.71,2.29,0,2,2,0,0,0,"","81,90'2",2,7,2,0,4,0,8,16,4,4,4,12,11,12,35,65,0.00,0,0,0,0,0,0,0,0.00,0.00,9.99,6.36,1.28,0.00,0.00,0.00,0.00,0.00,0.00,VELTINS-Arena
