timestamp,date_GMT,status,attendance,home_team_name,away_team_name,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1503754200,Aug 26 2017 - 1:30pm,complete,53100,Stuttgart,Mainz 05,0.00,0.00,2.00,0.71,1,0,1,0,0,0,"53","",5,6,2,0,1,0,17,12,4,6,13,6,12,17,54,46,0.00,0,0,0,0,0,0,0,0.00,0.00,2.50,3.45,3.02,0.00,0.00,0.00,0.00,0.00,0.00,Mercedes-Benz-Arena
1503765000,Aug 26 2017 - 4:30pm,complete,80860,Borussia Dortmund,Hertha BSC,0.00,0.00,1.82,1.24,2,0,2,1,1,0,"15,57","",4,4,1,0,1,0,16,8,10,5,6,3,12,8,61,39,0.00,0,0,0,0,0,0,0,0.00,0.00,1.39,5.32,8.92,0.00,0.00,0.00,0.00,0.00,0.00,Signal-Iduna-Park
1503840600,Aug 27 2017 - 1:30pm,complete,39265,RB Leipzig,Freiburg,0.00,0.00,1.82,0.53,4,1,5,1,0,1,"48,55,71,80","23",8,2,2,0,1,1,28,7,13,5,15,2,11,13,65,35,0.00,0,0,0,0,0,0,0,0.00,0.00,1.42,4.97,8.72,0.00,0.00,0.00,0.00,0.00,0.00,Red Bull Arena (Leipzig)
1503849600,Aug 27 2017 - 4:00pm,complete,49000,Hannover 96,Schalke 04,0.00,0.00,1.59,1.65,1,0,1,0,0,0,"67","",2,6,1,0,2,0,10,6,5,2,5,4,16,18,49,51,0.00,0,0,0,0,0,0,0,0.00,0.00,3.23,3.55,2.33,0.00,0.00,0.00,0.00,0.00,0.00,HDI-Arena
1504895400,Sep 8 2017 - 6:30pm,complete,50231,Hamburger SV,RB Leipzig,3.00,0.00,1.29,1.29,0,2,2,0,0,0,"","67,75",4,14,1,0,1,0,10,19,3,6,7,13,15,12,37,63,1.50,0,50,0,0,0,0,100,8.00,6.00,4.11,3.64,1.99,0.00,0.00,0.00,0.00,0.00,0.00,Volksparkstadion
1504963800,Sep 9 2017 - 1:30pm,complete,24000,Freiburg,Borussia Dortmund,1.00,3.00,1.59,1.41,0,0,0,0,0,0,"","",0,7,0,1,0,0,4,25,3,4,1,21,10,11,18,82,1.50,0,50,50,0,0,50,50,8.00,1.00,8.86,5.20,1.40,0.00,0.00,0.00,0.00,0.00,0.00,Schwarzwald-Stadion
1504963800,Sep 9 2017 - 1:30pm,complete,51431,Borussia M'gladbach,Eintracht Frankfurt,3.00,1.00,1.82,1.24,0,1,1,1,0,1,"","13",13,5,3,0,2,0,12,10,4,6,8,4,17,16,64,36,0.50,0,0,0,0,0,0,0,12.00,5.00,1.88,3.65,4.67,0.00,0.00,0.00,0.00,0.00,0.00,Stadion im BORUSSIA-PARK
1504963800,Sep 9 2017 - 1:30pm,complete,27510,Augsburg,Köln,1.00,0.00,1.29,0.47,3,0,3,2,2,0,"21,32,90'4","",6,9,0,0,0,0,8,13,5,4,3,9,15,11,41,59,2.50,50,50,50,50,0,50,50,13.00,4.00,2.55,3.33,3.05,0.00,0.00,0.00,0.00,0.00,0.00,WWK Arena
1504963800,Sep 9 2017 - 1:30pm,complete,24876,Mainz 05,Bayer Leverkusen,0.00,0.00,1.41,1.53,3,1,4,2,1,1,"45,57,71","22",1,3,2,0,2,0,13,12,6,3,7,9,16,15,38,62,2.50,50,50,50,50,0,50,50,18.00,5.00,2.89,3.50,2.57,0.00,0.00,0.00,0.00,0.00,0.00,OPEL ARENA
1504963800,Sep 9 2017 - 1:30pm,complete,27321,Wolfsburg,Hannover 96,0.00,3.00,1.00,0.71,1,1,2,0,0,0,"52","75",3,1,0,0,1,0,15,9,8,3,7,6,13,19,50,50,2.00,0,50,50,0,0,50,50,4.00,5.00,1.88,3.61,4.74,0.00,0.00,0.00,0.00,0.00,0.00,VOLKSWAGEN ARENA
1504974600,Sep 9 2017 - 4:30pm,complete,30150,Hoffenheim,Bayern München,3.00,3.00,2.18,2.35,2,0,2,1,1,0,"27,51","",2,4,3,0,1,0,6,22,4,7,2,15,15,9,29,71,1.50,0,50,0,0,0,0,0,14.00,2.00,6.60,5.09,1.49,0.00,0.00,0.00,0.00,0.00,0.00,WIRSOL Rhein-Neckar-Arena
1505050200,Sep 10 2017 - 1:30pm,complete,49118,Hertha BSC,Werder Bremen,3.00,0.00,1.29,1.00,1,1,2,1,1,0,"38","59",5,7,1,0,0,0,8,9,6,6,2,3,10,13,56,44,1.50,0,50,0,0,0,0,0,9.00,5.00,1.97,3.68,4.15,0.00,0.00,0.00,0.00,0.00,0.00,Olympiastadion Berlin
1505059200,Sep 10 2017 - 4:00pm,complete,61098,Schalke 04,Stuttgart,3.00,0.00,2.06,1.00,3,1,4,2,1,1,"4,47,48","40",2,1,1,0,1,0,11,10,5,2,6,8,13,18,40,60,2.00,0,100,0,0,0,0,50,5.00,3.00,1.82,3.79,4.83,0.00,0.00,0.00,0.00,0.00,0.00,VELTINS-Arena
1505500200,Sep 15 2017 - 6:30pm,complete,49000,Hannover 96,Hamburger SV,3.00,3.00,1.59,0.53,2,0,2,0,0,0,"50,82","",4,7,1,0,0,0,15,12,5,4,10,8,17,15,50,50,2.50,50,50,50,50,0,50,50,9.00,5.00,2.36,3.39,3.21,0.00,0.00,0.00,0.00,0.00,0.00,HDI-Arena
1505568600,Sep 16 2017 - 1:30pm,complete,75000,Bayern München,Mainz 05,3.00,0.00,2.59,0.71,4,0,4,2,2,0,"11,23,50,77","",10,5,2,0,2,0,27,12,14,6,13,6,10,5,65,35,2.50,50,50,50,50,0,50,50,10.00,2.00,1.16,8.58,9.99,0.00,0.00,0.00,0.00,0.00,0.00,Allianz Arena
