timestamp,date_GMT,status,attendance,home_team_name,away_team_name,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1566653400,Aug 24 2019 - 1:30pm,complete,14322,Paderborn,Freiburg,0.00,0.00,0.54,1.23,1,3,4,3,1,2,"3","21,40,90",9,5,3,0,1,0,18,11,3,6,15,5,20,6,54,46,0.00,0,0,0,0,0,0,0,0.00,0.00,2.40,3.70,2.90,1.18,1.59,2.45,4.35,1.49,2.40,Benteler-Arena (Paderborn)
1566653400,Aug 24 2019 - 1:30pm,complete,44538,Fortuna Düsseldorf,Bayer Leverkusen,0.00,0.00,1.00,1.83,1,3,4,3,0,3,"82","6,33,39",1,5,3,0,2,0,13,16,6,8,7,8,14,10,36,64,0.00,0,0,0,0,0,0,0,0.00,0.00,4.45,4.30,1.74,1.13,1.44,2.15,3.55,1.45,2.50,Merkur Spiel-Arena (Düsseldorf)
1566664200,Aug 24 2019 - 4:30pm,complete,62271,Schalke 04,Bayern München,0.00,0.00,1.62,2.17,0,3,3,1,0,1,"","20,50,75",3,4,0,0,0,0,11,11,3,7,8,4,10,10,38,62,0.00,0,0,0,0,0,0,0,0.00,0.00,8.75,5.05,1.39,1.18,1.59,2.45,4.35,1.83,1.87,VELTINS-Arena (Gelsenkirchen)
1566739800,Aug 25 2019 - 1:30pm,complete,40108,RB Leipzig,Eintracht Frankfurt,0.00,0.00,2.08,0.58,2,1,3,1,1,0,"10,80","89",4,1,2,0,3,0,11,12,6,6,5,6,10,13,47,53,0.00,0,0,0,0,0,0,0,0.00,0.00,1.53,4.70,6.25,1.14,1.48,2.20,3.70,1.57,2.20,Red Bull Arena (Leipzig)
1566748800,Aug 25 2019 - 4:00pm,complete,42738,Hertha BSC,Wolfsburg,0.00,0.00,0.92,1.50,0,3,3,1,0,1,"","9,82,90'1",2,5,1,0,0,0,10,11,3,5,7,6,14,11,53,47,0.00,0,0,0,0,0,0,0,0.00,0.00,2.50,3.50,2.90,1.23,1.74,2.85,5.25,1.57,2.20,Olympiastadion Berlin (Berlin)
1567189800,Aug 30 2019 - 6:30pm,complete,N/A,Borussia M'gladbach,RB Leipzig,1.00,3.00,2.17,1.92,1,3,4,1,0,1,"90","38,47,90'4",9,5,3,0,2,0,12,16,4,6,8,10,19,19,52,48,2.00,0,50,50,50,0,50,50,14.00,3.00,3.20,3.80,2.20,1.17,1.56,2.40,4.25,1.48,2.40,Stadion im BORUSSIA-PARK (Mönchengladbach)
1567258200,Aug 31 2019 - 1:30pm,complete,58875,Schalke 04,Hertha BSC,0.00,1.00,1.62,1.33,3,0,3,1,1,0,"38,48,85","",5,3,1,0,1,0,10,9,3,3,7,6,12,9,55,45,3.50,50,100,100,50,0,50,100,3.00,3.00,2.15,3.50,3.55,1.26,1.83,3.10,5.80,1.67,2.05,VELTINS-Arena (Gelsenkirchen)
1567258200,Aug 31 2019 - 1:30pm,complete,75000,Bayern München,Mainz 05,1.00,0.00,2.23,1.00,6,1,7,3,2,1,"36,45,54,64,78,80","6",10,1,3,0,3,0,20,9,10,5,10,4,16,13,66,34,3.50,50,100,100,50,0,50,50,17.00,6.00,1.10,11.00,29.25,1.06,1.25,1.67,2.45,2.10,1.62,Allianz Arena (München)
1567258200,Aug 31 2019 - 1:30pm,complete,26506,Bayer Leverkusen,Hoffenheim,3.00,0.00,1.92,1.58,0,0,0,0,0,0,"","",19,0,2,0,2,0,20,9,2,2,18,7,8,11,72,28,3.00,50,50,50,50,50,50,100,11.00,3.00,1.57,5.00,5.20,1.09,1.34,1.91,3.00,1.42,2.65,BayArena (Leverkusen)
1567258200,Aug 31 2019 - 1:30pm,complete,24000,Freiburg,Köln,3.00,0.00,1.67,1.08,1,2,3,1,1,0,"40","52,90'2",5,6,0,0,2,0,15,11,2,4,13,7,6,14,53,47,3.00,50,100,100,0,0,0,50,11.00,4.00,2.45,3.45,3.00,1.23,1.74,2.85,5.25,1.57,2.20,Schwarzwald-Stadion (Freiburg im Breisgau)
